time,temperature
0,42.77
1,42.29
2,42.77
3,42.77
4,42.29
5,42.77
6,42.29
7,41.80
8,42.77
9,41.31
10,42.77
11,42.29
12,41.80
13,41.80
14,42.29
15,41.80
16,41.80
17,41.80
18,42.29
19,41.31
20,41.31
21,41.31
22,40.82
23,39.84
24,40.82
25,40.82
26,41.31
27,40.82
28,41.31
29,40.33
30,40.82
31,40.82
32,40.33
33,40.33
34,40.33
35,39.36
36,40.33
37,39.36
38,40.82
39,40.33
40,39.36
41,40.33
42,39.84
43,40.33
44,39.36
45,39.36
46,39.36
47,39.84
48,40.33
49,39.84
50,38.87
51,39.36
52,39.84
53,38.87
54,39.84
55,39.36
56,39.36
57,39.36
58,39.36
59,39.84
60,39.84
61,39.84
62,39.36
63,38.87
64,38.87
65,39.36
66,39.36
67,38.87
68,39.36
69,38.87
70,39.36
71,38.87
72,39.36
73,38.87
74,38.87
75,38.87
76,39.36
77,39.36
78,38.87
79,38.87
80,38.87
81,38.38
82,38.38
83,39.36
84,38.38
85,37.89
86,39.84
87,37.40
88,38.38
89,37.89
90,38.38
91,37.89
92,37.89
93,37.89
94,38.38
95,37.89
96,37.89
97,37.89
98,37.40
99,37.40
100,37.40
101,37.40
102,37.89
103,38.38
104,38.87
105,37.40
106,37.40
107,37.89
108,37.89
109,38.38
110,37.40
111,37.40
112,37.40
113,36.91
114,36.43
115,36.91
116,36.91
117,36.43
118,36.91
119,36.43
120,36.91
121,35.94
122,36.43
123,36.91
124,37.40
125,36.43
126,36.91
127,36.91
128,36.91
129,36.91
130,36.43
131,36.43
132,36.91
133,37.40
134,36.43
135,36.43
136,36.91
137,36.91
138,36.91
139,36.43
140,35.94
141,36.43
142,36.91
143,35.94
144,35.94
145,37.40
146,37.40
147,36.43
148,36.43
149,37.40
150,36.91
151,36.91
152,36.91
153,36.91
154,36.43
155,36.91
156,36.43
157,35.94
158,35.94
159,35.94
160,35.94
161,36.43
162,35.94
163,35.45
164,35.94
165,35.94
166,35.45
167,34.96
168,35.94
169,35.94
170,36.43
171,34.96
172,35.94
173,35.45
174,35.45
175,35.45
176,34.96
177,35.45
178,34.96
179,34.47
